"completions","attempts","passing_yards","passing_tds","interceptions","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_first_downs","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","predicted_passing_yards"
32,42,424,4,1,0,0,343,21,0,4,29,0,0,0,2,402.715227543226
24,38,240,0,2,1,1,277,12,0,3,20,0,0,0,1,241.066424693802
20,30,185,2,0,1,1,167,11,0,6,24,0,0,0,0,239.133127838585
24,43,177,2,1,0,0,383,10,0,6,38,0,0,0,2,254.505251969765
27,34,298,2,0,0,0,167,17,0,5,9,0,0,0,1,316.00989992831
21,33,210,1,1,0,0,286,13,0,4,26,0,0,0,1,257.824035289044
25,43,271,1,1,0,0,285,14,0,1,8,0,0,0,1,273.48209178299
27,37,305,2,2,0,0,214,14,0,3,-5,0,0,0,0,281.697927095837
27,44,235,1,1,1,0,159,10,0,10,53,0,0,0,4,246.361511944075
21,29,245,1,0,1,1,147,10,0,4,2,0,0,0,1,211.505220511902
23,41,262,1,0,0,0,295,14,0,2,41,0,0,0,2,280.48901081406
17,23,215,2,0,0,0,165,12,0,6,19,0,0,0,1,238.182082843865
30,39,241,1,0,0,0,233,12,0,6,15,0,0,0,1,272.127067199421
34,46,333,2,1,1,0,280,15,0,9,66,0,1,0,5,332.933708774791
20,28,291,1,1,0,0,165,15,0,2,3,0,0,0,1,260.144579142163
18,25,151,2,2,0,0,104,7,0,4,29,0,0,0,1,191.375890063245
26,39,217,2,1,0,0,206,13,0,6,17,0,0,0,1,276.758446967627
19,29,245,1,1,0,0,197,8,0,5,12,0,0,0,1,192.86982339405
28,39,331,0,1,0,0,167,15,0,6,22,0,0,0,3,280.711203250854
16,27,154,0,2,0,0,212,11,0,5,39,1,0,0,3,213.631110236385
27,38,262,2,1,0,0,254,17,0,6,17,0,0,0,2,319.367411983572
34,44,291,3,0,0,0,276,19,0,2,9,0,0,0,1,372.591653955917
28,42,266,1,0,0,0,213,13,0,3,19,0,0,0,1,276.494440161157
23,33,196,3,2,0,0,228,15,0,0,0,0,0,0,0,290.844543263118
